song,artist,song_clean,artist_clean
Jump Out The Window,Big Sean,Jump Out The Window,Big Sean
Owe Me,Big Sean,Owe Me,Big Sean
Beauty And The Beast,Ariana Grande & John Legend,Beauty And The Beast,Ariana Grande
I Don't,Mariah Carey Featuring YG,I Don't,Mariah Carey
80s Mercedes,Maren Morris,80s Mercedes,Maren Morris
Now & Later,Sage The Gemini,Now & Later,Sage The Gemini
OTW,DJ Luke Nasty,OTW,DJ Luke Nasty
Light,Big Sean Featuring Jeremih,Light,Big Sean
Kelly Price,Migos Featuring Travis Scott,Kelly Price,Migos
Blue Ain't Your Color,Keith Urban,Blue Ain't Your Color,Keith Urban
X,21 Savage & Metro Boomin Featuring Future,X,21 Savage
Call Casting,Migos,Call Casting,Migos
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,Run Up,Major Lazer
I'm Better,Missy Elliott Featuring Lamb,I'm Better,Missy Elliott
Get Right Witcha,Migos,Get Right Witcha,Migos
If The Boot Fits,Granger Smith,If The Boot Fits,Granger Smith
Dirty Laundry,Carrie Underwood,Dirty Laundry,Carrie Underwood
Fresh Eyes,Andy Grammer,Fresh Eyes,Andy Grammer
Culture,Migos Featuring DJ Khaled,Culture,Migos
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,Chill Bill,Rob $tone
Cold Water,Major Lazer Featuring Justin Bieber & MO,Cold Water,Major Lazer
Love On The Weekend,John Mayer,Love On The Weekend,John Mayer
Sneakin',Drake Featuring 21 Savage,Sneakin',Drake
Song For Another Time,Old Dominion,Song For Another Time,Old Dominion
Say It,Flume Featuring Tove Lo,Say It,Flume
Water,Ugly God,Water,Ugly God
Running Back,Wale Featuring Lil Wayne,Running Back,Wale
You Was Right,Lil Uzi Vert,You Was Right,Lil Uzi Vert
In The Name Of Love,Martin Garrix & Bebe Rexha,In The Name Of Love,Martin Garrix
Not Afraid Anymore,Halsey,Not Afraid Anymore,Halsey
Red Opps,21 Savage,Red Opps,21 Savage
Neighbors,J. Cole,Neighbors,J. Cole
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,Timeless,A Boogie Wit da Hoodie
Parachute,Chris Stapleton,Parachute,Chris Stapleton
All We Know,The Chainsmokers Featuring Phoebe Ryan,All We Know,The Chainsmokers
Just Hold On,Steve Aoki & Louis Tomlinson,Just Hold On,Steve Aoki
Beibs In The Trap,Travis Scott,Beibs In The Trap,Travis Scott
My Sh*t,A Boogie Wit da Hoodie,My Sh*t,A Boogie Wit da Hoodie
OOOUUU,Young M.A,OOOUUU,Young M.A
I Hate U I Love U,gnash Featuring Olivia O'Brien,I Hate U I Love U,gnash
May We All,Florida Georgia Line Featuring Tim McGraw,May We All,Florida Georgia Line
Sleep Without You,Brett Young,Sleep Without You,Brett Young
Drinkin' Too Much,Sam Hunt,Drinkin' Too Much,Sam Hunt
Immortal,J. Cole,Immortal,J. Cole
What They Want,Russ,What They Want,Russ
Unsteady,X Ambassadors,Unsteady,X Ambassadors
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,Too Much Sauce,DJ ESCO
How I'll Always Be,Tim McGraw,How I'll Always Be,Tim McGraw
Hallelujah,Pentatonix,Hallelujah,Pentatonix
Shaky Shaky,Daddy Yankee,Shaky Shaky,Daddy Yankee
Key To The Streets,YFN Lucci Featuring Migos & Trouble,Key To The Streets,YFN Lucci
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,We Know The Way,Opetaia Foa'i
Careless Whisper,Wham! Featuring George Michael,Careless Whisper,Wham!
Faith,George Michael,Faith,George Michael
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,Pick Up The Phone,Young Thug
No Flockin,Kodak Black,No Flockin,Kodak Black
Black Barbies,Nicki Minaj X Mike WiLL Made-It,Black Barbies,Nicki Minaj
Hate U Love U,Olivia O'Brien,Hate U Love U,Olivia O'Brien
"Mary, Did You Know?",Pentatonix,"Mary, Did You Know?",Pentatonix
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,DJ Khaled
1 Night,Lil Yachty,1 Night,Lil Yachty
Change,J. Cole,Change,J. Cole
She's Mine Pt. 1,J. Cole,She's Mine Pt. 1,J. Cole
Ville Mentality,J. Cole,Ville Mentality,J. Cole
For Whom The Bell Tolls,J. Cole,For Whom The Bell Tolls,J. Cole
Six Feet Under,The Weeknd,Six Feet Under,The Weeknd
Sidewalks,The Weeknd Featuring Kendrick Lamar,Sidewalks,The Weeknd
Foldin Clothes,J. Cole,Foldin Clothes,J. Cole
4 Your Eyez Only,J. Cole,4 Your Eyez Only,J. Cole
She's Mine Pt. 2,J. Cole,She's Mine Pt. 2,J. Cole
False Prophets,J. Cole,False Prophets,J. Cole
Everybody Dies,J. Cole,Everybody Dies,J. Cole
Come And See Me,PARTYNEXTDOOR Featuring Drake,Come And See Me,PARTYNEXTDOOR
Darlin' Don't Go,Sundance Head,Darlin' Don't Go,Sundance Head
Deja Vu,Post Malone Featuring Justin Bieber,Deja Vu,Post Malone
At Last,Sundance Head,At Last,Sundance Head
Setting The World On Fire,Kenny Chesney Featuring P!nk,Setting The World On Fire,Kenny Chesney
Die For You,The Weeknd,Die For You,The Weeknd
This Is What You Came For,Calvin Harris Featuring Rihanna,This Is What You Came For,Calvin Harris
Ride,twenty one pilots,Ride,twenty one pilots
Needed Me,Rihanna,Needed Me,Rihanna
One Dance,Drake Featuring WizKid & Kyla,One Dance,Drake
Tiimmy Turner,Desiigner,Tiimmy Turner,Desiigner
Secrets,The Weeknd,Secrets,The Weeknd
Me And Your Mama,Childish Gambino,Me And Your Mama,Childish Gambino
Home,gnash Featuring Johnny Yukon,Home,gnash
True Colors,The Weeknd,True Colors,The Weeknd
Middle Of A Memory,Cole Swindell,Middle Of A Memory,Cole Swindell
Rockin',The Weeknd,Rockin',The Weeknd
All I Know,The Weeknd Featuring Future,All I Know,The Weeknd
That's My Girl,Fifth Harmony,That's My Girl,Fifth Harmony
False Alarm,The Weeknd,False Alarm,The Weeknd
Attention,The Weeknd,Attention,The Weeknd
Ordinary Life,The Weeknd,Ordinary Life,The Weeknd
Stargirl Interlude,The Weeknd Featuring Lana Del Rey,Stargirl Interlude,The Weeknd
Nothing Without You,The Weeknd,Nothing Without You,The Weeknd
A Lonely Night,The Weeknd,A Lonely Night,The Weeknd
Love To Lay,The Weeknd,Love To Lay,The Weeknd
Distraction,Kehlani,Distraction,Kehlani
A Little More Summertime,Jason Aldean,A Little More Summertime,Jason Aldean
Look Alive,Rae Sremmurd,Look Alive,Rae Sremmurd
Fade,Kanye West,Fade,Kanye West
Capsize,Frenship & Emily Warren,Capsize,Frenship
Gold,Kiiara,Gold,Kiiara
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain,Lil Wayne
Panda,Desiigner,Panda,Desiigner
Luv,Tory Lanez,Luv,Tory Lanez
My Way,Calvin Harris,My Way,Calvin Harris
Ain't My Fault,Zara Larsson,Ain't My Fault,Zara Larsson
Move,Luke Bryan,Move,Luke Bryan
Slumber Party,Britney Spears Featuring Tinashe,Slumber Party,Britney Spears
Vice,Miranda Lambert,Vice,Miranda Lambert
Litty,Meek Mill Featuring Tory Lanez,Litty,Meek Mill
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,PPAP,PIKOTARO
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,Greenlight,Pitbull
Infinite,Eminem,Infinite,Eminem
Send My Love (To Your New Lover),Adele,Send My Love,Adele
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,No Problem,Chance The Rapper
Too Good,Drake Featuring Rihanna,Too Good,Drake
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,We Don't Talk Anymore,Charlie Puth
Hallelujah,Leonard Cohen,Hallelujah,Leonard Cohen
We The People....,A Tribe Called Quest,We The People....,A Tribe Called Quest
Setting Fires,The Chainsmokers Featuring XYLO,Setting Fires,The Chainsmokers
It Don't Hurt Like It Used To,Billy Currington,It Don't Hurt Like It Used To,Billy Currington
Shout Out To My Ex,Little Mix,Shout Out To My Ex,Little Mix
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",Wishing,DJ Drama
"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",Daya
Money Longer,Lil Uzi Vert,Money Longer,Lil Uzi Vert
No Limit,Usher Featuring Young Thug,No Limit,Usher
I Know Somebody,LOCASH,I Know Somebody,LOCASH
All Eyez,The Game Featuring Jeremih,All Eyez,The Game
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,Wat U Mean,Dae Dae
Hold Up,Beyonce,Hold Up,Beyonce
Gangsta,Kehlani,Gangsta,Kehlani
Hymn For The Weekend,Coldplay,Hymn For The Weekend,Coldplay
Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,Froze,Meek Mill
Offended,Meek Mill Featuring Young Thug & 21 Savage,Offended,Meek Mill
"Two Birds, One Stone",Drake,"Two Birds, One Stone",Drake
On The Regular,Meek Mill,On The Regular,Meek Mill
The Difference,Meek Mill Featuring Quavo,The Difference,Meek Mill
Blue Notes,Meek Mill,Blue Notes,Meek Mill
Blessed Up,Meek Mill,Blessed Up,Meek Mill
Cool Girl,Tove Lo,Cool Girl,Tove Lo
Into You,Ariana Grande,Into You,Ariana Grande
Controlla,Drake,Controlla,Drake
A-YO,Lady Gaga,A-YO,Lady Gaga
Perfect Illusion,Lady Gaga,Perfect Illusion,Lady Gaga
This Girl,Kungs vs Cookin' On 3 Burners,This Girl,Kungs
Why You Always Hatin?,YG Featuring Drake & Kamaiyah,Why You Always Hatin?,YG
CRZY,Kehlani,CRZY,Kehlani
Lockjaw,French Montana Featuring Kodak Black,Lockjaw,French Montana
You & Me,Marc E. Bassy Featuring G-Eazy,You & Me,Marc E. Bassy
For Free,DJ Khaled Featuring Drake,For Free,DJ Khaled
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,Work From Home,Fifth Harmony
Blow Your Mind (Mwah),Dua Lipa,Blow Your Mind,Dua Lipa
Different For Girls,Dierks Bentley Featuring Elle King,Different For Girls,Dierks Bentley
THat Part,ScHoolboy Q Featuring Kanye West,THat Part,ScHoolboy Q
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,All In My Head,Fifth Harmony
Rock On,Tucker Beathard,Rock On,Tucker Beathard
I Met A Girl,William Michael Morgan,I Met A Girl,William Michael Morgan
I Got The Keys,DJ Khaled Featuring Jay Z & Future,I Got The Keys,DJ Khaled
Just Like Fire,P!nk,Just Like Fire,P!nk
Father Stretch My Hands Pt. 1,Kanye West,Father Stretch My Hands Pt. 1,Kanye West
You Don't Own Me,Grace Featuring G-Eazy,You Don't Own Me,Grace
Peter Pan,Kelsea Ballerini,Peter Pan,Kelsea Ballerini
Kids,OneRepublic,Kids,OneRepublic
Forever Country,"Artists Of Then, Now & Forever",Forever Country,Artists Of Then
Cranes In The Sky,Solange,Cranes In The Sky,Solange
Low Life,Future Featuring The Weeknd,Low Life,Future
Make You Miss Me,Sam Hunt,Make You Miss Me,Sam Hunt
Don't Touch My Hair,Solange Featuring Sampha,Don't Touch My Hair,Solange
LIFTED,CL,LIFTED,CL
Work,Rihanna Featuring Drake,Work,Rihanna
I Took A Pill In Ibiza,Mike Posner,I Took A Pill In Ibiza,Mike Posner
Never Be Like You,Flume Featuring Kai,Never Be Like You,Flume
H.O.L.Y.,Florida Georgia Line,H.O.L.Y.,Florida Georgia Line
Mama Said,Lukas Graham,Mama Said,Lukas Graham
Me Too,Meghan Trainor,Me Too,Meghan Trainor
Purple Lamborghini,Skrillex & Rick Ross,Purple Lamborghini,Skrillex
With You Tonight / Hasta El Amanecer,Nicky Jam,With You Tonight / Hasta El Amanecer,Nicky Jam
You Look Like I Need A Drink,Justin Moore,You Look Like I Need A Drink,Justin Moore
No Shopping,French Montana Featuring Drake,No Shopping,French Montana
7 Years,Lukas Graham,7 Years,Lukas Graham
Cancer,twenty one pilots,Cancer,twenty one pilots
My PYT,Wale,My PYT,Wale
Grass Ain't Greener,Chris Brown,Grass Ain't Greener,Chris Brown
Stressed Out,twenty one pilots,Stressed Out,twenty one pilots
Don't Mind,Kent Jones,Don't Mind,Kent Jones
Rise,Katy Perry,Rise,Katy Perry
Make Me...,Britney Spears Featuring G-Eazy,Make Me...,Britney Spears
She's Got A Way With Words,Blake Shelton,She's Got A Way With Words,Blake Shelton
Childs Play,Drake,Childs Play,Drake
American Country Love Song,Jake Owen,American Country Love Song,Jake Owen
Sorry,Beyonce,Sorry,Beyonce
From The Ground Up,Dan + Shay,From The Ground Up,Dan + Shay
Kill Em With Kindness,Selena Gomez,Kill Em With Kindness,Selena Gomez
Famous,Kanye West,Famous,Kanye West
Cake By The Ocean,DNCE,Cake By The Ocean,DNCE
Wicked,Future,Wicked,Future
Wyclef Jean,Young Thug,Wyclef Jean,Young Thug
Record Year,Eric Church,Record Year,Eric Church
Duele El Corazon,Enrique Iglesias Feat. Wisin or Tinashe & Javada,Duele El Corazon,Enrique Iglesias
Church Bells,Carrie Underwood,Church Bells,Carrie Underwood
Love Yourself,Justin Bieber,Love Yourself,Justin Bieber
Nikes,Frank Ocean,Nikes,Frank Ocean
Ivy,Frank Ocean,Ivy,Frank Ocean
Pink + White,Frank Ocean,Pink + White,Frank Ocean
Solo,Frank Ocean,Solo,Frank Ocean
Nights,Frank Ocean,Nights,Frank Ocean
Uber Everywhere,MadeinTYO,Uber Everywhere,MadeinTYO
Hit Or Miss,Jacob Sartorius,Hit Or Miss,Jacob Sartorius
Fix,Chris Lane,Fix,Chris Lane
Toothbrush,DNCE,Toothbrush,DNCE
Pop Style,Drake Featuring The Throne,Pop Style,Drake
Lights Come On,Jason Aldean,Lights Come On,Jason Aldean
Castaway,Zac Brown Band,Castaway,Zac Brown Band
No Money,Galantis,No Money,Galantis
Wasted Time,Keith Urban,Wasted Time,Keith Urban
Let It Go,James Bay,Let It Go,James Bay
Sorry,Justin Bieber,Sorry,Justin Bieber
Head Over Boots,Jon Pardi,Head Over Boots,Jon Pardi
Bohemian Rhapsody,Panic! At The Disco,Bohemian Rhapsody,Panic! At The Disco
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",All The Way Up,Fat Joe
Close,Nick Jonas Featuring Tove Lo,Close,Nick Jonas
Wake Up,Fetty Wap,Wake Up,Fetty Wap
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
My House,Flo Rida,My House,Flo Rida
Dangerous Woman,Ariana Grande,Dangerous Woman,Ariana Grande
Lush Life,Zara Larsson,Lush Life,Zara Larsson
Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",Holy Key,DJ Khaled
Brand New,Ben Rector,Brand New,Ben Rector
Wherever I Go,OneRepublic,Wherever I Go,OneRepublic
Back On Road,Gucci Mane & Drake,Back On Road,Gucci Mane
P**** Print,Gucci Mane Featuring Kanye West,P**** Print,Gucci Mane
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,Light It Up,Major Lazer
Lost Boy,Ruth B,Lost Boy,Ruth B
Never Forget You,Zara Larsson & MNEK,Never Forget You,Zara Larsson
Girls Talk Boys,5 Seconds Of Summer,Girls Talk Boys,5 Seconds Of Summer
Body Say,Demi Lovato,Body Say,Demi Lovato
No,Meghan Trainor,No,Meghan Trainor
M.I.L.F. $,Fergie,M.I.L.F. $,Fergie
Night's On Fire,David Nail,Night's On Fire,David Nail
Ophelia,The Lumineers,Ophelia,The Lumineers
Body,Dreezy Featuring Jeremih,Body,Dreezy
Pillowtalk,Zayn,Pillowtalk,Zayn
"Me, Myself & I",G-Eazy x Bebe Rexha,"Me, Myself & I",G-Eazy
T-Shirt,Thomas Rhett,T-Shirt,Thomas Rhett
Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda,Love Make The World Go Round,Jennifer Lopez
Noise,Kenny Chesney,Noise,Kenny Chesney
Came Here To Forget,Blake Shelton,Came Here To Forget,Blake Shelton
Bored To Death,Blink-182,Bored To Death,Blink-182
La Bicicleta,Carlos Vives & Shakira,La Bicicleta,Carlos Vives
Cut It,O.T. Genasis Featuring Young Dolph,Cut It,O.T. Genasis
Oui,Jeremih,Oui,Jeremih
Wild Things,Alessia Cara,Wild Things,Alessia Cara
The Sound Of Silence,Disturbed,The Sound Of Silence,Disturbed
Messin' Around,Pitbull Featuring Enrique Iglesias,Messin' Around,Pitbull
Still Here,Drake,Still Here,Drake
Hype,Drake,Hype,Drake
Flexicution,Logic,Flexicution,Logic
Really Really,Kevin Gates,Really Really,Kevin Gates
Think Of You,Chris Young Duet With Cassadee Pope,Think Of You,Chris Young Duet
Grammys,Drake Featuring Future,Grammys,Drake
Try Everything,Shakira,Try Everything,Shakira
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",Champions,Kanye West
Dark Necessities,Red Hot Chili Peppers,Dark Necessities,Red Hot Chili Peppers
2 Phones,Kevin Gates,2 Phones,Kevin Gates
Humble And Kind,Tim McGraw,Humble And Kind,Tim McGraw
What The World Needs Now Is Love,Broadway For Orlando,What The World Needs Now Is Love,Broadway For Orlando
Ain't No Stopping Us Now,Kane Brown,Ain't No Stopping Us Now,Kane Brown
Kiss It Better,Rihanna,Kiss It Better,Rihanna
Exchange,Bryson Tiller,Exchange,Bryson Tiller
Somewhere On A Beach,Dierks Bentley,Somewhere On A Beach,Dierks Bentley
Sweatshirt,Jacob Sartorius,Sweatshirt,Jacob Sartorius
With You,Drake Featuring PARTYNEXTDOOR,With You,Drake
Might Not,Belly Featuring The Weeknd,Might Not,Belly
Faded,Alan Walker,Faded,Alan Walker
Middle,DJ Snake Featuring Bipolar Sunshine,Middle,DJ Snake
My Church,Maren Morris,My Church,Maren Morris
Snapback,Old Dominion,Snapback,Old Dominion
Nothing Is Promised,Mike WiLL Made-It x Rihanna,Nothing Is Promised,Mike WiLL Made-It
Mind Reader,Dustin Lynch,Mind Reader,Dustin Lynch
Formation,Beyonce,Formation,Beyonce
Feel No Ways,Drake,Feel No Ways,Drake
Law,Yo Gotti Featuring E-40,Law,Yo Gotti
Piece By Piece,Kelly Clarkson,Piece By Piece,Kelly Clarkson
Moolah,Young Greatness,Moolah,Young Greatness
Youth,Troye Sivan,Youth,Troye Sivan
My Boo,Ghost Town DJ's,My Boo,Ghost Town DJ's
If It Ain't Love,Jason Derulo,If It Ain't Love,Jason Derulo
9,Drake,9,Drake
One Call Away,Charlie Puth,One Call Away,Charlie Puth
Lonesome Broken And Blue,Adam Wakefield,Lonesome Broken And Blue,Adam Wakefield
U With Me?,Drake,U With Me?,Drake
Fire & Desire,Drake,Fire & Desire,Drake
Every Breath You Take,Hannah Huston,Every Breath You Take,Hannah Huston
Redemption,Drake,Redemption,Drake
Down That Road,Alisan Porter,Down That Road,Alisan Porter
Stitches,Shawn Mendes,Stitches,Shawn Mendes
Roses,The Chainsmokers Featuring Rozes,Roses,The Chainsmokers
Don't,Bryson Tiller,Don't,Bryson Tiller
Weston Road Flows,Drake,Weston Road Flows,Drake
Keep The Family Close,Drake,Keep The Family Close,Drake
Faithful,Drake Featuring Pimp C & dvsn,Faithful,Drake
Blessings,Chance The Rapper Featuring Ty Dolla $ign,Blessings,Chance The Rapper
I'm Sorry,Adam Wakefield,I'm Sorry,Adam Wakefield
Promise,Kid Ink Featuring Fetty Wap,Promise,Kid Ink
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,Go Ahead And Break My Heart,Blake Shelton
Ain't Your Mama,Jennifer Lopez,Ain't Your Mama,Jennifer Lopez
6 Inch,Beyonce Featuring The Weeknd,6 Inch,Beyonce
I Like The Sound Of That,Rascal Flatts,I Like The Sound Of That,Rascal Flatts
Confession,Florida Georgia Line,Confession,Florida Georgia Line
Team,Iggy Azalea,Team,Iggy Azalea
Don't Hurt Yourself,Beyonce Featuring Jack White,Don't Hurt Yourself,Beyonce
All Night,Beyonce,All Night,Beyonce
Freedom,Beyonce Featuring Kendrick Lamar,Freedom,Beyonce
Daddy Lessons,Beyonce,Daddy Lessons,Beyonce
Pray You Catch Me,Beyonce,Pray You Catch Me,Beyonce
Sandcastles,Beyonce,Sandcastles,Beyonce
Love Drought,Beyonce,Love Drought,Beyonce
True Colors,Zedd & Kesha,True Colors,Zedd
Views,Drake,Views,Drake
Summer Sixteen,Drake,Summer Sixteen,Drake
Purple Rain,Prince And The Revolution,Purple Rain,Prince
When Doves Cry,Prince,When Doves Cry,Prince
Little Red Corvette,Prince,Little Red Corvette,Prince
Kiss,Prince And The Revolution,Kiss,Prince
Let's Go Crazy,Prince And The Revolution,Let's Go Crazy,Prince
1999,Prince,1999,Prince
Raspberry Beret,Prince And The Revolution,Raspberry Beret,Prince
I Would Die 4 U,Prince And The Revolution,I Would Die 4 U,Prince
Jumpman,Drake & Future,Jumpman,Drake
Forward,Beyonce Featuring James Blake,Forward,Beyonce
Back To Sleep,Chris Brown,Back To Sleep,Chris Brown
You Should Be Here,Cole Swindell,You Should Be Here,Cole Swindell
New Level,A$AP Ferg Featuring Future,New Level,A$AP Ferg
Company,Justin Bieber,Company,Justin Bieber
Acquainted,The Weeknd,Acquainted,The Weeknd
That Don't Sound Like You,Lee Brice,That Don't Sound Like You,Lee Brice
Hands To Myself,Selena Gomez,Hands To Myself,Selena Gomez
Hello,Adele,Hello,Adele
Down In The DM,Yo Gotti Featuring Nicki Minaj,Down In The DM,Yo Gotti
The Hills,The Weeknd,The Hills,The Weeknd
New Romantics,Taylor Swift,New Romantics,Taylor Swift
Drunk On Your Love,Brett Eldredge,Drunk On Your Love,Brett Eldredge
Saved,Ty Dolla $ign Featuring E-40,Saved,Ty Dolla $ign
Little Bit Of You,Chase Bryant,Little Bit Of You,Chase Bryant
Might Be,DJ Luke Nasty,Might Be,DJ Luke Nasty
Pt. 2,Kanye West,Pt. 2,Kanye West
Jimmy Choo,Fetty Wap,Jimmy Choo,Fetty Wap
Let Me Love You,Ariana Grande Featuring Lil Wayne,Let Me Love You,Ariana Grande
Fast Car,Jonas Blue Featuring Dakota,Fast Car,Jonas Blue
Die A Happy Man,Thomas Rhett,Die A Happy Man,Thomas Rhett
Nobody To Blame,Chris Stapleton,Nobody To Blame,Chris Stapleton
Waves,Kanye West,Waves,Kanye West
Sugar,Robin Schulz Featuring Francesco Yates,Sugar,Robin Schulz
Ultralight Beam,Kanye West,Ultralight Beam,Kanye West
Victorious,Panic! At The Disco,Victorious,Panic! At The Disco
Hotline Bling,Drake,Hotline Bling,Drake
When We Were Young,Adele,When We Were Young,Adele
Best Friend,Young Thug,Best Friend,Young Thug
FML,Kanye West,FML,Kanye West
Tennessee Whiskey,Chris Stapleton,Tennessee Whiskey,Chris Stapleton
Real Friends,Kanye West,Real Friends,Kanye West
Beautiful Drug,Zac Brown Band,Beautiful Drug,Zac Brown Band
Heartbeat,Carrie Underwood,Heartbeat,Carrie Underwood
Feedback,Kanye West,Feedback,Kanye West
679,Fetty Wap Featuring Remy Boyz,679,Fetty Wap
What Do You Mean?,Justin Bieber,What Do You Mean?,Justin Bieber
Say It,Tory Lanez,Say It,Tory Lanez
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,Meghan Trainor
White Iverson,Post Malone,White Iverson,Post Malone
Like I Would,Zayn,Like I Would,Zayn
Stand By You,Rachel Platten,Stand By You,Rachel Platten
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,Shawn Mendes
With Them,Young Thug,With Them,Young Thug
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,Luke Bryan
Digits,Young Thug,Digits,Young Thug
Something In The Way You Move,Ellie Goulding,Something In The Way You Move,Ellie Goulding
Make Me Like You,Gwen Stefani,Make Me Like You,Gwen Stefani
Be Alright,Ariana Grande,Be Alright,Ariana Grande
Hide Away,Daya,Hide Away,Daya
Here,Alessia Cara,Here,Alessia Cara
Same Old Love,Selena Gomez,Same Old Love,Selena Gomez
Ex's & Oh's,Elle King,Ex's & Oh's,Elle King
In The Night,The Weeknd,In The Night,The Weeknd
Adventure Of A Lifetime,Coldplay,Adventure Of A Lifetime,Coldplay
Backroad Song,Granger Smith,Backroad Song,Granger Smith
Something New,Zendaya Featuring Chris Brown,Something New,Zendaya
Sorry Not Sorry,Bryson Tiller,Sorry Not Sorry,Bryson Tiller
Can't Feel My Face,The Weeknd,Can't Feel My Face,The Weeknd
We Went,Randy Houser,We Went,Randy Houser
Break On Me.,Keith Urban,Break On Me.,Keith Urban
Untitled 02 l 06.23.2014.,Kendrick Lamar,Untitled 02 l 06.23.2014.,Kendrick Lamar
Untitled 07 l Levitate,Kendrick Lamar,Untitled 07 l Levitate,Kendrick Lamar
Watch Out,2 Chainz,Watch Out,2 Chainz
Get Ugly,Jason Derulo,Get Ugly,Jason Derulo
Gotta Lotta,2 Chainz Featuring Lil Wayne,Gotta Lotta,2 Chainz
Antidote,Travis Scott,Antidote,Travis Scott
Lean On,Major Lazer & DJ Snake Featuring MO,Lean On,Major Lazer
See You Again,Wiz Khalifa Featuring Charlie Puth,See You Again,Wiz Khalifa
It's You,Zayn,It's You,Zayn
Hello Friday,Flo Rida Featuring Jason Derulo,Hello Friday,Flo Rida
Perfect,One Direction,Perfect,One Direction
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,Lil Dicky
Til It Happens To You,Lady Gaga,Til It Happens To You,Lady Gaga
Walking On A Dream,Empire Of The Sun,Walking On A Dream,Empire Of The Sun
History,One Direction,History,One Direction
Dibs,Kelsea Ballerini,Dibs,Kelsea Ballerini
Out Of The Woods,Taylor Swift,Out Of The Woods,Taylor Swift
Hollow,Tori Kelly,Hollow,Tori Kelly
Look At My Dab,Migos,Look At My Dab,Migos
I Love This Life,LOCASH,I Love This Life,LOCASH
Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!,Mark Ronson
Break Up In A Small Town,Sam Hunt,Break Up In A Small Town,Sam Hunt
On My Mind,Ellie Goulding,On My Mind,Ellie Goulding
Confident,Demi Lovato,Confident,Demi Lovato
Stay A Little Longer,Brothers Osborne,Stay A Little Longer,Brothers Osborne
All I Ask,Adele,All I Ask,Adele
Good To Be Alive (Hallelujah),Andy Grammer,Good To Be Alive,Andy Grammer
Bang My Head,David Guetta Featuring Sia & Fetty Wap,Bang My Head,David Guetta
Irresistible,Fall Out Boy,Irresistible,Fall Out Boy
Do It Like Me,DLOW,Do It Like Me,DLOW
Dessert,Dawin,Dessert,Dawin
Watch Me,Silento,Watch Me,Silento
Fly S**t Only,Future,Fly S**t Only,Future
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,Bake Sale,Wiz Khalifa
Die A Happy Man,Nelly,Die A Happy Man,Nelly
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,WTF,Missy Elliott
Whisper,Chase Rice,Whisper,Chase Rice
The Fix,Nelly Featuring Jeremih,The Fix,Nelly
No Role Modelz,J. Cole,No Role Modelz,J. Cole
Again,Fetty Wap,Again,Fetty Wap
Big Rings,Drake & Future,Big Rings,Drake
Country Nation,Brad Paisley,Country Nation,Brad Paisley
Back Up,DeJ Loaf Featuring Big Sean,Back Up,DeJ Loaf
Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",Jam,Kevin Gates
Alive,Sia,Alive,Sia
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games,Big Sean
I Got The Boy,Jana Kramer,I Got The Boy,Jana Kramer
